,centroidid,longitude,latitude
61,MW000062,34.9547296638999,-14.9858046416
62,MW000063,34.9996862210999,-15.7619112757999
63,MW000064,35.5296869848,-15.5847995243999
64,MW000065,35.6300256489,-15.6588976232
65,MW000066,35.019845836,-15.7300112991999
66,MW000067,35.3317226116,-15.9432260757
67,MW000068,34.1044195672999,-11.2648845225999
68,MW000069,33.8677604051,-11.5446607245
69,MW000070,35.0898063578,-15.8290695496
70,MW000071,33.767417573,-13.9672098145
71,MW000072,33.4347620038,-12.1799838961
72,MW000073,35.0509858835999,-15.7303437822
73,MW000074,35.515359353,-15.7803044503999
74,MW000075,35.1401723927999,-14.3739591219
75,MW000076,34.3045776021999,-13.6435573508
76,MW000077,35.6231448998,-14.8044367009
77,MW000078,33.8148060165,-13.9943245606
78,MW000079,34.8841660213999,-16.0313087078999
79,MW000080,35.0854002418,-15.7480418785
80,MW000081,35.0838484599999,-15.883740893
81,MW000082,33.4460179837999,-11.757903138
82,MW000083,33.0301736197,-13.9390266398
83,MW000084,34.7139333977,-14.6330922788
84,MW000085,33.8577877852999,-13.1933077597
85,MW000086,33.5620075791999,-12.7216883723999
86,MW000087,34.1544677424,-12.654246811
87,MW000088,33.8147684635999,-13.7617292176999
88,MW000089,33.7865532356999,-14.0395384515
89,MW000090,33.7927606646,-14.011080795
90,MW000091,34.3850135356,-15.8202128594
91,MW000092,35.4822322371,-15.404776264
92,MW000093,35.4383987837999,-15.3513646335999
93,MW000094,35.0228949883999,-15.3721925115
94,MW000095,34.5270916244,-14.0451282235
95,MW000096,34.2944269609999,-13.051038426
96,MW000097,33.8477684833,-11.3309533377
97,MW000098,35.5985965415,-14.9601514667999
98,MW000099,34.5055704768999,-15.6255975521
99,MW000100,35.6335060920999,-16.0121611898999
100,MW000101,35.3647662493999,-15.189365624
101,MW000102,34.1341626585999,-10.7463073625
102,MW000103,35.3785694314,-14.895068099
103,MW000104,35.6904944416999,-14.8185787580999
104,MW000105,34.3803876483,-13.7509242954
105,MW000106,34.0518159495999,-13.4255279127
106,MW000107,35.0042762743999,-14.9079951436
107,MW000108,34.2783256685999,-12.8955796648
108,MW000109,35.0601183409999,-15.8495957842
109,MW000110,35.0327079636999,-15.9903819098
110,MW000111,34.2212541609999,-11.1299185897
111,MW000112,35.6004533334999,-16.0890545164
112,MW000113,33.6617315968,-12.9516962376
113,MW000114,35.6079399461999,-15.6916751363
114,MW000115,33.8288861772999,-13.9376725733
115,MW000116,35.0407362985,-15.7642408292
116,MW000117,33.8044619121,-14.0243055951
117,MW000118,34.6640728679999,-14.5420788807
118,MW000119,34.9219004261999,-16.4522994708
119,MW000120,33.8442536398,-11.1971340557999
120,MW000121,33.9039125127999,-9.71938673427
